,suburb,rooms,type,price,method,sellerg,distance,bedroom2,bathroom,car,landsize,yearbuilt,councilarea,regionname,year,month,day,season
0,Abbotsford,2,h,1480000.0,S,Biggin,2.5,2.0,1.0,1.0,202.0,,Yarra,Northern Metropolitan,2016,3,12,Spring
1,Abbotsford,2,h,1035000.0,S,Biggin,2.5,2.0,1.0,0.0,156.0,1900.0,Yarra,Northern Metropolitan,2016,4,2,Spring
2,Abbotsford,3,h,1465000.0,SP,Biggin,2.5,3.0,2.0,0.0,134.0,1900.0,Yarra,Northern Metropolitan,2017,4,3,Spring
3,Abbotsford,3,h,850000.0,PI,Biggin,2.5,3.0,2.0,1.0,94.0,,Yarra,Northern Metropolitan,2017,4,3,Spring
4,Abbotsford,4,h,1600000.0,VB,Nelson,2.5,3.0,1.0,2.0,120.0,2014.0,Yarra,Northern Metropolitan,2016,4,6,Spring
5,Abbotsford,2,h,941000.0,S,Jellis,2.5,2.0,1.0,0.0,181.0,,Yarra,Northern Metropolitan,2016,7,5,Summer
6,Abbotsford,3,h,1876000.0,S,Nelson,2.5,4.0,2.0,0.0,245.0,1910.0,Yarra,Northern Metropolitan,2016,7,5,Summer
7,Abbotsford,2,h,1636000.0,S,Nelson,2.5,2.0,1.0,2.0,256.0,1890.0,Yarra,Northern Metropolitan,2016,8,10,Summer
8,Abbotsford,1,u,300000.0,S,Biggin,2.5,1.0,1.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,8,10,Summer
9,Abbotsford,2,h,1097000.0,S,Biggin,2.5,3.0,1.0,2.0,220.0,1900.0,Yarra,Northern Metropolitan,2016,8,10,Summer
10,Abbotsford,2,u,700000.0,VB,Jellis,2.5,2.0,2.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,12,11,Winter
11,Abbotsford,3,h,1350000.0,VB,Nelson,2.5,3.0,2.0,2.0,214.0,2005.0,Yarra,Northern Metropolitan,2016,12,11,Winter
12,Abbotsford,2,u,750000.0,S,Biggin,2.5,2.0,2.0,1.0,0.0,2009.0,Yarra,Northern Metropolitan,2016,12,11,Winter
13,Abbotsford,2,h,1172500.0,S,Biggin,2.5,2.0,1.0,1.0,195.0,,Yarra,Northern Metropolitan,2016,8,13,Summer
14,Abbotsford,1,u,441000.0,SP,Greg,2.5,1.0,1.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,5,14,Spring
15,Abbotsford,2,h,1310000.0,S,Jellis,2.5,2.0,1.0,2.0,238.0,1890.0,Yarra,Northern Metropolitan,2016,10,15,Autumn
16,Abbotsford,3,h,1200000.0,S,Jellis,2.5,3.0,2.0,1.0,113.0,1880.0,Yarra,Northern Metropolitan,2016,7,16,Summer
17,Abbotsford,3,h,1176500.0,S,LITTLE,2.5,2.0,1.0,1.0,138.0,1890.0,Yarra,Northern Metropolitan,2016,7,16,Summer
18,Abbotsford,3,h,955000.0,S,Collins,2.5,3.0,1.0,0.0,183.0,,Yarra,Northern Metropolitan,2016,9,17,Autumn
19,Abbotsford,2,h,890000.0,S,Biggin,2.5,2.0,1.0,1.0,150.0,1985.0,Yarra,Northern Metropolitan,2016,9,17,Autumn
20,Abbotsford,4,h,1330000.0,PI,Kay,2.5,4.0,2.0,2.0,780.0,1900.0,Yarra,Northern Metropolitan,2017,3,18,Spring
21,Abbotsford,3,t,900000.0,S,Beller,2.5,3.0,2.0,2.0,0.0,2010.0,Yarra,Northern Metropolitan,2017,3,18,Spring
22,Abbotsford,3,u,1090000.0,S,Jellis,2.5,3.0,2.0,2.0,4290.0,,Yarra,Northern Metropolitan,2017,3,18,Spring
23,Abbotsford,2,u,500000.0,S,Collins,2.5,2.0,1.0,1.0,0.0,1970.0,Yarra,Northern Metropolitan,2016,6,18,Summer
24,Abbotsford,2,h,1100000.0,PI,Biggin,2.5,2.0,2.0,1.0,124.0,2013.0,Yarra,Northern Metropolitan,2016,6,18,Summer
25,Abbotsford,2,h,1315000.0,S,Marshall,2.5,2.0,1.0,0.0,147.0,1900.0,Yarra,Northern Metropolitan,2016,11,19,Autumn
26,Abbotsford,1,u,426000.0,SP,Greg,2.5,1.0,1.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,8,22,Summer
27,Abbotsford,3,h,1447500.0,PI,Nelson,2.5,3.0,3.0,1.0,166.0,2012.0,Yarra,Northern Metropolitan,2016,8,22,Summer
28,Abbotsford,1,u,457000.0,S,Jellis,2.5,1.0,1.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,8,22,Summer
29,Abbotsford,2,h,1135000.0,S,Nelson,2.5,2.0,2.0,2.0,98.0,1920.0,Yarra,Northern Metropolitan,2016,8,22,Summer
30,Abbotsford,4,h,1542000.0,S,Collins,2.5,4.0,3.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,9,24,Autumn
31,Abbotsford,3,h,1290000.0,S,Biggin,2.5,3.0,2.0,2.0,147.0,,Yarra,Northern Metropolitan,2017,2,25,Winter
32,Abbotsford,3,h,1290000.0,S,Biggin,2.5,3.0,1.0,1.0,168.0,1950.0,Yarra,Northern Metropolitan,2017,2,25,Winter
33,Abbotsford,1,u,470000.0,S,Nelson,2.5,1.0,1.0,1.0,0.0,2013.0,Yarra,Northern Metropolitan,2016,7,26,Summer
34,Abbotsford,2,h,1180000.0,S,Jellis,2.5,2.0,1.0,0.0,162.0,1900.0,Yarra,Northern Metropolitan,2016,11,27,Autumn
35,Abbotsford,3,h,1195000.0,SP,Jellis,2.5,3.0,2.0,1.0,120.0,1998.0,Yarra,Northern Metropolitan,2016,11,27,Autumn
36,Abbotsford,2,h,1012500.0,S,Nelson,2.5,2.0,1.0,0.0,182.0,1900.0,Yarra,Northern Metropolitan,2016,5,28,Spring
37,Abbotsford,2,h,1030000.0,S,Biggin,2.5,2.0,1.0,1.0,172.0,1930.0,Yarra,Northern Metropolitan,2016,7,30,Summer
38,Airport West,3,t,840000.0,PI,Nelson,13.5,3.0,2.0,1.0,303.0,2016.0,Moonee Valley,Western Metropolitan,2016,3,9,Spring
39,Airport West,3,h,730000.0,VB,Nelson,13.5,3.0,2.0,1.0,0.0,1965.0,Moonee Valley,Western Metropolitan,2016,3,12,Spring
40,Airport West,3,h,770000.0,SP,Nelson,13.5,3.0,2.0,1.0,0.0,1965.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring
41,Airport West,2,h,603000.0,S,Nelson,13.5,2.0,1.0,1.0,272.0,1950.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring
42,Airport West,3,t,700000.0,S,Brad,13.5,3.0,2.0,2.0,239.0,2009.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring
43,Airport West,3,h,600000.0,S,Maddison,13.5,2.0,1.0,1.0,290.0,1980.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring
44,Airport West,2,u,500000.0,VB,Barry,13.5,2.0,1.0,1.0,168.0,2011.0,Moonee Valley,Western Metropolitan,2017,4,3,Spring
45,Airport West,3,h,720000.0,S,Barry,13.5,2.0,1.0,1.0,620.0,,Moonee Valley,Western Metropolitan,2016,6,8,Summer
46,Airport West,4,h,785000.0,S,Considine,13.5,3.0,1.0,2.0,597.0,,Moonee Valley,Western Metropolitan,2016,6,8,Summer
47,Airport West,6,h,725000.0,SP,Barry,13.5,6.0,3.0,2.0,976.0,1980.0,Moonee Valley,Western Metropolitan,2016,7,5,Summer
48,Airport West,2,t,450000.0,S,Barry,13.5,2.0,1.0,1.0,110.0,2015.0,Moonee Valley,Western Metropolitan,2016,7,5,Summer
49,Airport West,2,u,515000.0,S,Barry,13.5,2.0,1.0,1.0,141.0,2013.0,Moonee Valley,Western Metropolitan,2016,7,11,Summer
